address,owned
"0xbf3d530f5561dc6ce19fb05aea374bdbd518d14d0f57ab4402e618b5039d0fdf",23
"0x2402448b510705afb6d59b9f186cf1e321640396009d46287a3871e01c07ba86",1
"0x79905573d4c3f3a0cb4edca9e58f0855a0e41f9aaefa6df8368d02919797ba18",2
"0x3b6191bfed6e63e99bd2e769f2824c9f7c43c4f0488e4bc3e7609497e08e5d2a",6
"0x27b356032ba90fa872ea8adb9ab790358707b5a383b9b5f9f777c4b8282df4ae",15
"0x3d8d36f1207c5cccfd9e3b25fa830231da282a03b2874b3737096833aa72edd2",315
"0x87c9e076815e78ee63b7dc225704c428b8c51072ccead4304ae07f6c68fe1b92",42
"0xd9830416a9e82e89711e334a7ded70b8d72b3e66d0ad19f539ae62646619bccf",3
"0x4e8cbee1a8785ee1a1d1c37d8df5a77507632d282cadfd93b8d0f2829fdd4370",6
"0x615f3138387ac7eb825f5ee51516f0240f51c7ff1ef95a1f49e68626d76e44b5",4
"0xfb18d8eb7838b23c5a0844a71d00e4cf88be15eba1e6ee843ae02bcc0721c822",5
"0xfe4128d48342d8e952325bbc5ef3a29a58abe6459686e5dc1d21bd9f9a9e1dac",10
"0x6705b68024d26decdc0df8615b8bfc414e8ce045fe483518ea31a7b80505d2a7",4
"0xfe78704e0bed87a4a0163b8f311e151ea88722c0ff9685060ca872ca659012b8",1
"0x4867ae1287a5318a819a7000cfe4f2bf96d4ca8c901d0b6fe6c73a42416300a7",1
"0x106573aec8797eee6f2e25cbfb5acd932f09799651c3e8ebe63dc6d441dc17a3",1
"0xacb3b3242c8d140a125cc71a04f5e9f54d154dd10fe996041f838c369c58628e",2
"0x9dd382f73ae3a695288307044dca72d7b244a4ffa3ada08a7c1c352369d3a757",4
"0xeaef9ef1ff6e2e2df7003e61b2b8a2de65c0ef2f9f9c9ede8a64ae4d1cade60d",1
"0x3150c303a49bb035e032b5574d438324528bf3dfecbe85d111d5bf140777568b",4
"0xd864582133a68665876fbf1010dbcf6bb8bc82a4c21915f65bc84fc303e990c7",2
"0xa60d0f2875b86f5f260f0b57bb9b0fa678afbe6d19f6beb30f2bb624b3689ebd",1
"0x10e51b98107ce64f8a58d2835f133bde732d91c368a7a8601707c74512774f72",1
"0x21beddb9d160aa3c41e14fbcb21acb363e1c0a844e36cff5bd4c461e3514fca5",2
"0x57b81515d48e153d9678230ea7c3e029b9f9830a7da9b9cfdeafc530ce077b91",1
"0x1a454089f12b5211a9ed1f0293a468d2f39c61bb0ddc7abcd249c66e9919261f",1
"0xf1a4d3f5844cb2f92e1ce1932a2c8f002844728bd16e59b4ed5e79833d34c6c6",1
"0xa3c7219cfa15ca86c48bcea34e02081791646c205d24d4b7d6762f94b49bc96d",1
"0xf130fe6bc100433a37db94c5f908d2772380337016ad6a697bfa4c21ecfce5ec",2
"0x7a83985299b17a230bce17a157947e155dbf6f1db426cdef9ca3d9ea6f280f57",1
"0xe79b597fba2c9f012b26f84368b7fcc3c2c4632e2fc95cfc7be4a52294304f76",2
"0x0f820d166803af8ad793369b2c47b55455097019f4ee0c96ea616f54526a63c4",8
"0xbdb4c338bc00e739e738a57d3869f0547f44ee2ad4b4f98e46a1548f5c141b64",3
"0x78c02c766e57a065ef8edb86d7048b522662510beec4187ff8ef3a5c1e14c666",12
"0x33ac480794fc8248c94cc04f5538023c78f7abf3dd1d61f7e653523031170ac8",1
"0x935c62a67808c15927b6c508e1350f355a21d46258589ac47ca727e9f79f984a",3
"0xb36afa413adec9ce62fb67f8784091b7eba2df44e6c6fb0fdefeff511046315b",1
"0x781c90a282bb906b3fa8c575c3a3d428aa4c8aadaac4b000e406bc3db6074a02",10
"0xb38a77daff2413489d68001b97e9d831b46f1aadd9b55fe4d2b4913de10dd2c7",1
"0x5a10883d9102475d37531738fd7d8cfeac333f303570fa0d6563f80872271af1",20
"0xc85801d183c76a932d910f42cee99e22f96429eb068d38f68533a91449ae4c9b",10
"0x49caa708dc02f10046b58dd8cc91231cefc3479091a6e446f1a655ffaaabb3f3",3
"0x45b7628328c11b73964871d2c3402c00deb3bf8cbb2f2b72b6181a1f9aba8ca4",1
"0xca8229067b1cb9e75618c7e6d6203c2e7cdb90cbbbfed8935c81a90765d2f039",2
"0xf1b26d7e90a81f038346b7fbf7a08d904631fd688d2cae80d77e05d3d903e0eb",18
